Title,Price,Description,Url,Image
Balenciaga,$590,Pink Small Belt Pouch,https://www.ssense.com/en-ch/women/product/balenciaga/pink-small-belt-pouch/3764899,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Givenchy,$595,Silver Mirror 3V Slingback Pumps,https://www.ssense.com/en-ch/women/product/givenchy/silver-mirror-3v-slingback-pumps/3751979,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
MISBHV,$480,Beige Patent Marella Racing Slicer Mules,https://www.ssense.com/en-ch/women/product/misbhv/beige-patent-marella-racing-slicer-mules/3713819,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
MISBHV,$480,Yellow Patent Marella Racing Slicer Mule Heels,https://www.ssense.com/en-ch/women/product/misbhv/yellow-patent-marella-racing-slicer-mule-heels/3713809,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
MISBHV,$440,Green Pandora Slicer Mules,https://www.ssense.com/en-ch/women/product/misbhv/green-pandora-slicer-mules/3713769,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
MISBHV,$440,White Pandora Slicer Mules,https://www.ssense.com/en-ch/women/product/misbhv/white-pandora-slicer-mules/3713759,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$530,Black Willow Stud Boots,https://www.ssense.com/en-ch/women/product/rag-and-bone/black-willow-stud-boots/3977521,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$475,Black Harrow Boots,https://www.ssense.com/en-ch/women/product/rag-and-bone/black-harrow-boots/3914621,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$670,Tan Suede Compass Boots,https://www.ssense.com/en-ch/women/product/rag-and-bone/tan-suede-compass-boots/3914741,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$265,Black RB Army High-Top Sneakers,https://www.ssense.com/en-ch/women/product/rag-and-bone/black-rb-army-high-top-sneakers/3914771,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$480,Black Small Field Messenger Bag,https://www.ssense.com/en-ch/women/product/rag-and-bone/black-small-field-messenger-bag/3914521,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$385,Black Ellis Fanny Pack,https://www.ssense.com/en-ch/women/product/rag-and-bone/black-ellis-fanny-pack/3909381,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
