ArticleNumber,AvailableQty,expectedDeliveryDateFormatted,inventoryCount,inventoryCountFormatted,quantityFormatted
68806441,0.00,,275,275,1
46006841,0.00,,275,275,1
48000002,0.00,,93,93,1
48009241,0.00,,82,82,1
48009243,194.00,22-07-2019,25,25,1
48400023,200.00,28-10-2019,149,149,1
68603149,0.00,,41,41,1
68704749,2.00,13-03-2020,67,67,1
68704750,2.00,13-03-2020,123,123,1
68704754,0.00,,29,29,1
68704757,0.00,,31,31,1
68704758,2.00,13-03-2020,167,167,1
68704759,0.00,,72,72,1
68704760,200.00,15-12-2019,196,196,1
68800376,0.00,,377,377,1
68801022,200.00,28-09-2019,137,137,1
68801023,300.00,28-09-2019,96,96,1
68801044,0.00,,159,159,1
68806464,0.00,,31,31,1
68806465,0.00,,54,54,1
68808390,0.00,,64,64,1
68808392,0.00,,127,127,1
68809734,200.00,15-12-2019,185,185,1
68809736,0.00,,105,105,1
82044140,200.00,28-10-2019,176,176,1
82040701,125.00,27-09-2019,173,173,1
89136073,200.00,15-08-2019,95,95,1
90246828,8.00,13-03-2020,202,202,1
97304962,0.00,,580,580,1
40114494,139.00,14-08-2019,0,0,1
40114537,96.00,12-08-2019,98,98,1
48601808,804.00,01-02-2020,765,765,1
50228436,800.00,07-08-2019,237,237,1
50229916,8.00,13-03-2020,243,243,1
50255215,20.00,23-07-2019,-10,-10,1
117003,300.00,21-10-2019,187,187,1
17902746,0.00,,170,170,1
17902752,0.00,,313,313,1
17906482,0.00,,345,345,1
17906483,0.00,,326,326,1
32708249,98.00,02-09-2019,149,149,1
32708265,100.00,02-09-2019,63,63,1
48009243,194.00,22-07-2019,25,25,1
48400023,200.00,28-10-2019,149,149,1
48508747,0.00,,244,244,1
68704760,200.00,15-12-2019,196,196,1
68801022,200.00,28-09-2019,137,137,1
68801023,300.00,28-09-2019,96,96,1
68809734,200.00,15-12-2019,185,185,1
79200028,200.00,30-10-2019,192,192,1
79202260,200.00,30-10-2019,380,380,1
87304605,200.00,01-12-2019,229,229,1
87307481,0.00,,70,70,1
82045336,372.00,14-08-2019,0,0,1
82046354,0.00,,260,260,1
82043358,0.00,,3,3,1
82043359,3.00,13-03-2020,120,120,1
82043366,3.00,13-03-2020,101,101,1
50200214,0.00,,475,475,1
82046123,4.00,13-03-2020,0,0,1
50202127,0.00,,515,515,1
50202130,0.00,,43,43,1
50206321,0.00,,61,61,1
50206381,0.00,,309,309,1
50206382,0.00,,317,317,1
90111672,0.00,,59,59,1
